# Server version 0.08 running on alistermbp:8123
# Game ID: 39
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sat Apr 02 19:17:38 EDT 2016
# Starting at move 3
# Player 1: Player-0, 'RandomHusPlayer', running on alistermbp
# Player 2: Player-1, '260629223', running on alistermbp
START Player-0 RandomHusPlayer
START Player-1 260629223
PIT 0 18
PIT 1 6
PIT 0 11
PIT 1 22
PIT 0 4
PIT 1 15
PIT 0 8
PIT 1 25
PIT 0 1
PIT 1 0
PIT 0 9
PIT 1 5
PIT 0 15
PIT 1 28
PIT 0 10
PIT 1 2
PIT 0 7
