# Server version 0.08 running on 192.168.0.104:8123
# Game ID: 141
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Tue Apr 05 00:14:35 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on 192.168.0.104
# Player 2: Player-1, '260629223', running on 192.168.0.104
START Player-0 RandomHusPlayer
START Player-1 260629223
PIT 0 6
PIT 1 23
PIT 0 1
PIT 1 19
PIT 0 19
PIT 1 20
PIT 0 18
PIT 1 23
PIT 0 13
PIT 1 22
PIT 0 15
PIT 1 24
PIT 0 0
PIT 1 31
PIT 0 4
PIT 1 30
PIT 0 7
PIT 1 29
PIT 0 10
PIT 1 30
PIT 0 5
PIT 1 20
PIT 0 11
PIT 1 31
GAMEOVER WINNER 1
# Game ended: Tue Apr 05 00:14:35 EDT 2016
